"","site_name","transect","species","family","size_cm","abundance","fg","fishing_ground","size_5cm_bin"
"194","Beropa",1,"ctenochaetus striatus","Acanthuridae",10,1,"Detritivore","kaledupa","10-15"
"195","Beropa",1,"ctenochaetus striatus","Acanthuridae",10,1,"Detritivore","kaledupa","10-15"
"196","Beropa",1,"ctenochaetus striatus","Acanthuridae",10,1,"Detritivore","kaledupa","10-15"
"197","Beropa",1,"ctenochaetus striatus","Acanthuridae",10,1,"Detritivore","kaledupa","10-15"
"198","Beropa",1,"ctenochaetus striatus","Acanthuridae",10,2,"Detritivore","kaledupa","10-15"
"199","Beropa",1,"ctenochaetus striatus","Acanthuridae",10,2,"Detritivore","kaledupa","10-15"
"200","Beropa",1,"forcipiger flavissimus","Chaetodontidae",15,2,"Micro-invertivore","kaledupa","15-20"
"201","Beropa",1,"heniochus varius","Chaetodontidae",11,1,"Micro-invertivore","kaledupa","10-15"
"202","Beropa",1,"lutjanus bohar","Lutjanidae",18,1,"Piscivore","kaledupa","15-20"
"203","Beropa",1,"macolor macularis","Lutjanidae",27,1,"Pisci-invertivore","kaledupa","25-30"
"204","Beropa",1,"naso vlamingii","Acanthuridae",19,5,"Planktivore","kaledupa","15-20"
"205","Beropa",1,"chlorurus sordidus","Scarini-Labridae",14,1,"Excavator/scraper","kaledupa","10-15"
"206","Beropa",1,"scarus ghobban","Scarini-Labridae",25,1,"Excavator/scraper","kaledupa","25-30"
"207","Beropa",1,"scarus psittacus","Scarini-Labridae",13,1,"Excavator/scraper","kaledupa","10-15"
"208","Beropa",1,"scarus quoyi","Scarini-Labridae",14,1,"Excavator/scraper","kaledupa","10-15"
"209","Beropa",1,"scarus quoyi","Scarini-Labridae",15,1,"Excavator/scraper","kaledupa","15-20"
"210","Beropa",1,"scarus spp.","Scarini-Labridae",23,1,"Excavator/scraper","kaledupa","20-25"
"211","Beropa",2,"aulostomus chinensis","Aulostomidae",30,1,"Piscivore","kaledupa","30-35"
"212","Beropa",2,"aulostomus chinensis","Aulostomidae",17,1,"Piscivore","kaledupa","15-20"
"213","Beropa",2,"chlorurus bleekeri","Scarini-Labridae",13,1,"Excavator/scraper","kaledupa","10-15"
"214","Beropa",2,"hipposcarus spp.","Scarini-Labridae",20,1,"Excavator/scraper","kaledupa","20-25"
"215","Beropa",3,"aulostomus chinensis","Aulostomidae",22,1,"Piscivore","kaledupa","20-25"
"216","Beropa",3,"chlorurus bleekeri","Scarini-Labridae",25,1,"Excavator/scraper","kaledupa","25-30"
"217","Fan Garden",3,"scarus flavipectoralis","Scarini-Labridae",13,1,"Excavator/scraper","tomia atoll","10-15"
"218","Fan Garden",3,"scarus niger","Scarini-Labridae",18,2,"Excavator/scraper","tomia atoll","15-20"
"219","Fan Garden",1,"arothron hispidus","Tetraodontidae",35,1,"Macro-invertivore","tomia atoll","35-40"
"220","Fan Garden",2,"pomacentrus spp.","Pomacentridae",12,1,"Micro-invertivore","tomia atoll","10-15"
"221","Fan Garden",2,"pomacentrus spp.","Pomacentridae",11,1,"Micro-invertivore","tomia atoll","10-15"
"222","Fan Garden",2,"scarus ghobban","Scarini-Labridae",25,2,"Excavator/scraper","tomia atoll","25-30"
"223","Fan Garden",2,"scarus niger","Scarini-Labridae",15,1,"Excavator/scraper","tomia atoll","15-20"
"224","Fan Garden",2,"scarus spp.","Scarini-Labridae",11,1,"Excavator/scraper","tomia atoll","10-15"
"225","Fan Garden",3,"chlorurus bleekeri","Scarini-Labridae",22,1,"Excavator/scraper","tomia atoll","20-25"
"226","Fan Garden",3,"chlorurus bleekeri","Scarini-Labridae",23,2,"Excavator/scraper","tomia atoll","20-25"
"227","Fan Garden",1,"acanthurus blochii","Acanthuridae",20,1,"Grazer","tomia atoll","20-25"
"228","Fan Garden",1,"acanthurus pyroferus","Acanthuridae",20,1,"Grazer","tomia atoll","20-25"
"229","Fan Garden",1,"balistapus undulatus","Balistidae",19,1,"Macro-invertivore","tomia atoll","15-20"
"230","Fan Garden",1,"cephalopholis leopardus","Serranidae",24,1,"Pisci-invertivore","tomia atoll","20-25"
"231","Fan Garden",1,"cephalopholis leopardus","Serranidae",24,1,"Pisci-invertivore","tomia atoll","20-25"
